Pais,Llamados a la acción,Sanciones,Insultos,Fecha pico,Total impacto de publicaciones,Total Impresiones (veces que se vieron estos mensajes),Xenofobia,% Llamados a la acción,% Sanciones Judiciales,% Insultos
Colombia,9,0,89,2025-06-08,640.8,1065172,89,10%,0%,100%
Colombia,4,1,112,2025-06-09,477.7,104949,112,4%,1%,100%
Colombia,1,0,18,2025-06-10,67.8,13531,18,6%,0%,100%
Peru,317,201,628,2025-04-10,3597.9,1765530,881,36%,23%,71%
Peru,186,94,276,2025-04-11,763.1,434758,488,38%,19%,57%
Ecuador,1,113,115,2025-04-04,275.7,583192,116,1%,97%,99%
Ecuador,0,44,45,2025-04-05,125.1,179353,46,0%,96%,98%
Ecuador,1,113,115,2025-04-04,275.7,583192,116,1%,97%,99%
Ecuador,0,44,45,2025-04-05,125.1,179353,46,0%,96%,98%
