Pais,Variable,Fecha,Dato
Colombia,Mecanismo I,31/12/2023,55.0
Colombia,Mecanismo II,31/12/2023,62.0
Colombia,Mecanismo III,31/12/2023,73.0
Ecuador,Mecanismo I,31/12/2023,33.0
Ecuador,Mecanismo II,31/12/2023,34.0
Ecuador,Mecanismo III,31/12/2023,48.0
Peru,Mecanismo I,31/12/2023,3.0
Peru,Mecanismo II,31/12/2023,0.0
Peru,Mecanismo III,31/12/2023,22.0
