Pais,Llamados a la acción,Sanciones,Insultos,Fecha pico,Total impacto de publicaciones,Total Impresiones (veces que se vieron estos mensajes),Xenofobia,% Llamados a la acción,% Sanciones Judiciales,% Insultos
Chile,1,39,106,2024-02-20,1236.0,1160003,111,1%,35%,95%
Chile,9,162,361,2024-02-21,3782.6,2172041,433,2%,37%,83%
Chile,51,514,1755,2024-02-22,17867.8,10488316,1898,3%,27%,92%
Chile,75,33,1064,2024-02-23,7915.8,7074526,1134,7%,3%,94%
Chile,27,8,98,2024-02-24,971.5,641368,108,25%,7%,91%
