Pais,Llamados a la acción,Sanciones,Insultos,Fecha pico,Total impacto de publicaciones,Total Impresiones (veces que se vieron estos mensajes),Xenofobia,% Llamados a la acción,% Sanciones Judiciales,% Insultos
Colombia,11,1,216,2024-07-29,860.6,407028,222,5%,0%,97%
Colombia,6,4,283,2024-07-30,1287.4,739695,288,2%,1%,98%
Colombia,1,0,41,2024-07-31,126.0,50129,41,2%,0%,100%
Peru,4,21,181,2024-07-29,416.5,114290,186,2%,11%,97%
Peru,2,22,144,2024-07-30,379.8,124896,148,1%,15%,97%
Peru,0,5,18,2024-07-31,54.1,21824,20,0%,25%,90%
Ecuador,16,6,144,2024-07-30,428.1,277899,164,10%,4%,88%
Ecuador,4,7,55,2024-07-31,201.1,76857,64,6%,11%,86%
