Pais;Variable;Fecha;Dato
Colombia;Mecanismo I;31/03/24;57
Colombia;Mecanismo II;31/03/24;30
Colombia;Mecanismo III;31/03/24;196
Ecuador;Mecanismo I;31/03/24;3
Ecuador;Mecanismo II;31/03/24;3
Ecuador;Mecanismo III;31/03/24;7
Peru;Mecanismo I;31/03/24;67
Peru;Mecanismo II;31/03/24;80
Peru;Mecanismo III;31/03/24;277
