Pais,Variable,Fecha,Dato
Colombia,Mecanismo I,31/12/2023,91.0
Colombia,Mecanismo II,31/12/2023,101.0
Colombia,Mecanismo III,31/12/2023,141.0
Ecuador,Mecanismo I,31/12/2023,34.0
Ecuador,Mecanismo II,31/12/2023,35.0
Ecuador,Mecanismo III,31/12/2023,48.0
Peru,Mecanismo I,31/12/2023,6.0
Peru,Mecanismo II,31/12/2023,2.0
Peru,Mecanismo III,31/12/2023,23.0
