Pais,Variable,Fecha,Dato
Colombia,Mecanismo I,30/09/2023,35.0
Colombia,Mecanismo II,30/09/2023,37.0
Colombia,Mecanismo III,30/09/2023,54.0
Ecuador,Mecanismo I,30/09/2023,0.0
Ecuador,Mecanismo II,30/09/2023,0.0
Ecuador,Mecanismo III,30/09/2023,0.0
Peru,Mecanismo I,30/09/2023,3.0
Peru,Mecanismo II,30/09/2023,2.0
Peru,Mecanismo III,30/09/2023,1.0
